,movie,year,timeMin,imdb,metascore,votes,us_grossMillions
0,Avatar: The Way of Water,2022,192,7.8,67,302013,
1,The Banshees of Inisherin,2022,114,7.8,87,143325,
2,Everything Everywhere All at Once,2022,139,8.0,81,334569,
3,Puss in Boots: The Last Wish,2022,102,7.9,73,81964,
4,Titanic,1997,194,7.9,75,1195973,659.33
5,The Whale,2022,117,7.9,60,36796,
6,The Fabelmans,2022,151,7.6,84,59898,
7,Top Gun: Maverick,2022,130,8.3,78,532047,
8,All Quiet on the Western Front,2022,148,7.8,76,146844,
9,Aftersun,2022,102,7.7,95,39692,
10,The Godfather,1972,175,9.2,100,1878242,134.97
11,Harry Potter and the Sorcerer's Stone,2001,152,7.6,65,794105,317.58
12,The Batman,2022,176,7.8,72,674924,
13,The Shawshank Redemption,1994,142,9.3,81,2704941,28.34
14,Avatar,2009,162,7.9,83,1324948,760.51
15,Interstellar,2014,169,8.6,74,1863149,188.02
16,Once Upon a Time in Hollywood,2019,161,7.6,83,757590,142.5
17,Pulp Fiction,1994,154,8.9,94,2076706,107.93
18,Knives Out,2019,130,7.9,82,708344,165.36
19,Dune,2021,155,8.0,74,651125,108.33
20,Guillermo del Toro's Pinocchio,2022,117,7.6,79,82819,
21,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92,1891736,315.54
22,Avengers: Endgame,2019,181,8.4,78,1150729,858.37
23,Spider-Man: No Way Home,2021,148,8.2,71,772593,804.75
24,The Notebook,2004,123,7.8,53,580910,81.0
25,The Wolf of Wall Street,2013,180,8.2,75,1433124,116.9
26,The Dark Knight,2008,152,9.0,84,2678649,534.86
27,Inception,2010,148,8.8,74,2376628,292.58
28,Joker,2019,122,8.4,59,1314110,335.45
29,The Departed,2006,151,8.5,85,1337294,132.38
30,Black Swan,2010,108,8.0,79,777537,106.95
31,Whiplash,2014,106,8.5,89,880150,13.09
32,Good Will Hunting,1997,126,8.3,70,984756,138.43
33,Fight Club,1999,139,8.8,66,2149684,37.03
34,The Help,2011,146,8.1,62,465036,169.71
35,RRR,2022,187,7.9,83,136573,
36,Forrest Gump,1994,142,8.8,82,2101647,330.25
37,American Psycho,2000,102,7.6,64,637811,15.07
38,Edge of Tomorrow,2014,113,7.9,71,688901,100.21
39,Harry Potter and the Goblet of Fire,2005,157,7.7,81,637149,290.01
40,Scarface,1983,170,8.3,65,851907,45.6
41,Parasite,2019,132,8.5,96,824458,53.37
42,The Gentlemen,2019,113,7.8,51,349017,36.47
43,The Godfather Part II,1974,202,9.0,90,1282789,57.3
44,Blade Runner 2049,2017,164,8.0,81,587480,92.05
45,Schindler's List,1993,195,9.0,95,1367093,96.9
46,La La Land,2016,128,8.0,94,601752,151.1
47,Inglourious Basterds,2009,153,8.3,69,1466877,120.54
48,The Princess Bride,1987,98,8.0,77,431889,30.86
49,12 Angry Men,1957,96,9.0,97,799093,4.36
